#{"t_start": 1644588382.388593, "env_id": null}
r,l,t
-200,1,4.586727
-200,1,4.589724
-198,3,4.598221
-200,1,4.601457
-199,2,4.606471
-200,1,4.611117
-200,1,4.614296
-200,1,4.617753
-200,1,4.620713
-199,2,4.626707
-200,1,4.629904
-197,4,4.638256
-199,2,4.643957
-197,4,4.652304
-200,1,4.655417
-199,2,4.661269
-195,6,4.673545
-200,1,4.678988
-200,1,4.684808
-200,1,4.692791
-200,1,4.705889
-200,1,4.712598
-200,1,4.723462
-196,5,4.736265
-200,1,4.740412
-198,3,4.749506
-200,1,4.756469
-196,5,4.773724
-200,1,4.776869
-199,2,4.781697
-199,2,4.78695
-199,2,4.791372
-197,4,4.799673
-200,1,4.802802
-199,2,4.807684
-200,1,4.810983
-197,4,4.818726
-199,2,4.823056
-197,4,4.830863
-193,8,4.845098
-199,2,4.850198
-200,1,4.853356
-200,1,4.856217
-199,2,4.860562
-200,1,4.863416
-200,1,4.866295
-200,1,4.869453
-200,1,4.872545
-199,2,4.878188
-195,6,4.88912
-200,1,4.893142
-200,1,4.897922
-199,2,4.902758
-197,4,4.910812
-199,2,4.915291
-200,1,4.918947
-199,2,4.923807
-199,2,4.928219
-200,1,4.932135
-198,3,4.93891
-198,3,4.944848
-198,3,4.950674
-200,1,4.95358
-200,1,4.956614
-199,2,4.961058
-200,1,4.964022
-198,3,4.969883
-200,1,4.972738
-200,1,4.975584
-199,2,4.980098
-200,1,4.983183
-200,1,4.986065
-200,1,4.989045
-200,1,4.991897
-200,1,4.994828
-198,3,5.00078
-200,1,5.003639
-199,2,5.008026
-200,1,5.010878
-200,1,5.013705
-200,1,5.016549
-199,2,5.020851
-200,1,5.02369
-200,1,5.026648
-200,1,5.029485
-199,2,5.034221
-194,7,5.046762
-200,1,5.049767
-199,2,5.054463
-199,2,5.060348
-200,1,5.064444
-200,1,5.067788
-199,2,5.073942
-198,3,5.084387
-199,2,5.091113
-200,1,5.096192
-199,2,5.101684
-199,2,5.108525
-200,1,5.113277
-199,2,5.11856
-200,1,5.123228
-200,1,5.129388
-198,3,5.138581
-200,1,5.143893
-200,1,5.148245
-200,1,5.167221
-200,1,5.174246
-200,1,5.180774
-200,1,5.18591
-200,1,5.189661
-200,1,5.19422
-200,1,5.198187
-199,2,5.210837
-198,3,5.228807
-200,1,5.233453
-200,1,5.236618
-200,1,5.239778
-200,1,5.24307
-197,4,5.250649
-200,1,5.253686
-200,1,5.256922
-196,5,5.266291
-200,1,5.269189
-199,2,5.273623
-198,3,5.279616
-197,4,5.287252
-200,1,5.290073
-200,1,5.292926
-199,2,5.297262
-200,1,5.300366
-199,2,5.304956
-199,2,5.309486
-200,1,5.312329
-199,2,5.316677
-200,1,5.319571
-200,1,5.322504
-200,1,5.325336
-200,1,5.328162
-200,1,5.331073
-192,9,5.345914
-200,1,5.348746
-199,2,5.353048
-200,1,5.355897
-200,1,5.358737
-199,2,5.363067
-199,2,6.527947
-199,2,6.532294
-198,3,6.538156
-196,5,6.546878
-198,3,6.552704
-199,2,6.557156
-199,2,6.561497
-200,1,6.564314
-198,3,6.570159
-199,2,6.574442
-199,2,6.578787
-197,4,6.586103
-200,1,6.588927
-200,1,6.591767
-200,1,6.594588
-199,2,6.599055
-197,4,6.606576
-200,1,6.609457
-200,1,6.61233
-200,1,6.615214
-198,3,6.621157
-199,2,6.625521
-200,1,6.628335
-197,4,6.635716
-200,1,6.638685
-197,4,6.645921
-197,4,6.653133
-197,4,6.660556
-198,3,6.666328
-196,5,6.675572
-200,1,6.678548
-200,1,6.681485
-195,6,6.692485
-200,1,6.695418
-199,2,6.699953
-200,1,6.702945
-200,1,6.705942
-200,1,6.708867
-198,3,6.714966
-200,1,6.717904
-199,2,6.722736
-198,3,6.729068
-199,2,6.733565
-200,1,6.736533
-199,2,6.743274
-199,2,6.74974
-198,3,6.758081
-199,2,6.763976
-200,1,6.767381
-200,1,6.771021
-199,2,6.776179
-196,5,6.791816
-196,5,6.805585
-199,2,6.811218
-198,3,6.824542
-199,2,6.83101
-200,1,6.83465
-194,7,6.851931
-199,2,6.856897
-199,2,6.862849
-200,1,6.865989
-199,2,6.87238
-196,5,6.884947
-198,3,6.89285
-198,3,6.900743
-196,5,6.912057
-200,1,6.916393
-199,2,6.920928
-197,4,6.930828
-200,1,6.934543
-196,5,6.945588
-200,1,6.949929
-196,5,6.960401
-199,2,6.965334
-200,1,6.968269
-198,3,6.974426
-197,4,6.983688
-196,5,6.994354
