#{"t_start": 1644504719.638805, "env_id": null}
r,l,t
-199,2,15.252687
-200,1,15.255476
-198,3,15.261384
-200,1,15.274943
-200,1,15.289659
-199,2,15.293746
-198,3,15.300126
-200,1,15.303186
-199,2,15.327037
-200,1,15.333376
-200,1,15.343471
-199,2,15.345953
-199,2,15.353429
-200,1,15.357182
-199,2,15.360661
-199,2,15.363457
-200,1,15.367284
-199,2,15.371524
-200,1,15.373732
-200,1,15.376282
-196,5,15.392548
-200,1,15.394628
-199,2,15.398188
-200,1,15.403043
-200,1,15.411786
-200,1,15.414409
-200,1,15.419957
-200,1,15.423716
-197,4,15.43562
-200,1,15.439002
-199,2,15.443404
-199,2,15.446408
-200,1,15.453089
-198,3,15.458169
-200,1,15.460705
-200,1,15.463108
-197,4,15.481711
-200,1,15.486285
-199,2,15.509487
-199,2,15.51287
-193,8,15.543059
-196,5,15.554447
-200,1,15.557837
-200,1,15.561046
-199,2,15.572508
-200,1,15.576148
-200,1,15.57845
-200,1,15.580135
-191,10,15.613557
-200,1,15.622322
-199,2,15.62628
-199,2,15.642615
-200,1,15.645163
-200,1,15.6498
-198,3,15.656529
-200,1,15.658683
-200,1,15.660981
-200,1,15.683306
-200,1,15.691667
-200,1,15.7107
-200,1,15.721035
-197,4,15.727171
-197,4,15.744111
-200,1,15.746957
-200,1,15.752346
-200,1,15.756392
-200,1,15.75921
-199,2,15.761629
-200,1,15.764708
-200,1,15.769344
-198,3,15.781087
-200,1,15.788993
-200,1,15.796681
-196,5,15.809348
-195,6,15.822881
-199,2,15.837188
-200,1,15.843055
-199,2,15.849269
-197,4,15.856571
-197,4,15.888566
-200,1,15.891575
-200,1,15.893517
-200,1,15.901097
-200,1,15.904741
-199,2,15.909364
-199,2,15.913518
-199,2,15.928702
-200,1,15.938996
-200,1,15.941672
-199,2,15.946644
-200,1,15.950882
-198,3,15.956368
-200,1,15.968599
-199,2,15.972607
-200,1,15.974948
-200,1,15.976599
-198,3,15.981623
-196,5,16.020243
-199,2,16.023482
-197,4,16.028
-198,3,16.035219
-199,2,16.040552
-197,4,16.044499
-199,2,16.04724
-199,2,16.055335
-198,3,16.09492
-200,1,16.096553
-198,3,16.104517
-200,1,16.108909
-199,2,16.11348
-200,1,16.115848
-197,4,16.121869
-200,1,16.124762
-200,1,16.128023
-199,2,16.131823
-195,6,16.141838
-198,3,16.148811
-200,1,16.153186
-199,2,16.15712
-199,2,16.160845
-200,1,16.167087
-199,2,16.170358
-200,1,16.172188
-199,2,16.17569
-200,1,16.183679
-200,1,16.188735
-199,2,16.1926
-198,3,16.197178
-200,1,16.205488
-200,1,16.209209
-199,2,16.212471
-199,2,16.216944
-194,7,16.233089
-199,2,16.240324
-200,1,16.242755
-199,2,16.261957
-199,2,16.272676
-198,3,16.276064
-198,3,16.301199
-199,2,16.306831
-199,2,16.324585
-199,2,16.332217
-200,1,16.336587
-200,1,16.340336
-200,1,16.351741
-197,4,16.359363
-200,1,16.361241
-200,1,16.364739
-200,1,16.370341
-200,1,16.378127
-197,4,16.389607
-200,1,16.392043
-200,1,16.406315
-199,2,16.413339
-199,2,16.422244
-199,2,16.438857
-198,3,16.443479
-200,1,16.449771
-200,1,16.452997
-199,2,16.455681
-200,1,16.459116
-199,2,16.462927
-200,1,16.494846
-200,1,16.501659
-199,2,16.507367
-197,4,16.515044
-199,2,16.520327
-200,1,16.523785
-199,2,16.536395
-198,3,16.541062
-200,1,16.544073
-200,1,16.546173
-200,1,16.551846
-200,1,16.55538
-200,1,16.55856
-199,2,16.571392
-199,2,16.592744
-199,2,16.609886
-198,3,16.617981
-200,1,16.622277
-198,3,16.626526
